timestamp,label,p,src_ip,dst_ip,protocol,ttl,total_len,t_delta
2025-12-03 04:45:54,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,1086,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,91,0.000000
2025-12-03 04:45:54,NORMAL,0.039779,134.88.135.190,140.82.114.5,TCP,128,104,0.001787
2025-12-03 04:45:54,NORMAL,0.000088,134.88.135.190,140.82.114.5,TCP,128,132,0.000123
2025-12-03 04:45:54,NORMAL,0.000000,134.88.135.190,140.82.114.5,TCP,128,316,0.000156
2025-12-03 04:45:54,NORMAL,0.195773,134.88.135.190,140.82.114.5,TCP,128,106,0.000030
2025-12-03 04:45:54,NORMAL,0.000047,140.82.114.5,134.88.135.190,TCP,52,119,0.016141
2025-12-03 04:45:55,NORMAL,0.000000,140.82.114.5,134.88.135.190,TCP,52,119,0.000000
2025-12-03 04:45:55,ATTACK DETECTED,0.788379,140.82.114.5,134.88.135.190,TCP,52,104,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,140.82.114.5,TCP,128,71,0.000346
2025-12-03 04:45:55,NORMAL,0.381917,134.88.135.190,4.249.131.160,TCP,128,162,0.000646
2025-12-03 04:45:55,NORMAL,0.006846,134.88.135.190,4.249.131.160,TCP,128,0,0.000112
2025-12-03 04:45:55,NORMAL,0.004770,134.88.135.190,4.249.131.160,TCP,128,0,0.000087
2025-12-03 04:45:55,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,52,119,0.013297
2025-12-03 04:45:55,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,561,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,75,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.003136
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,557,0.000553
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,557,0.000119
2025-12-03 04:45:55,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,139,0.076859
2025-12-03 04:45:55,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,139,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,486,0.001220
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,486,0.000449
2025-12-03 04:45:55,NORMAL,0.000000,140.82.114.5,134.88.135.190,TCP,52,1476,0.005003
2025-12-03 04:45:55,NORMAL,0.000000,140.82.114.5,134.88.135.190,TCP,52,113,0.000000
2025-12-03 04:45:55,NORMAL,0.000006,140.82.114.5,134.88.135.190,TCP,52,1476,0.034512
2025-12-03 04:45:55,NORMAL,0.000000,140.82.114.5,134.88.135.190,TCP,52,459,0.000000
2025-12-03 04:45:55,NORMAL,0.000865,134.88.135.190,13.107.5.93,TCP,128,0,0.009565
2025-12-03 04:45:55,ATTACK DETECTED,0.980349,134.88.135.190,134.88.1.5,TCP,128,42,0.000630
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,134.88.1.5,TCP,128,90,0.000104
2025-12-03 04:45:55,ATTACK DETECTED,0.980346,134.88.135.190,134.88.1.5,TCP,128,42,0.000196
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,134.88.1.5,TCP,128,90,0.000135
2025-12-03 04:45:55,NORMAL,0.000336,13.107.5.93,134.88.135.190,TCP,113,1499,0.001624
2025-12-03 04:45:55,NORMAL,0.000001,13.107.5.93,134.88.135.190,TCP,113,1086,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,1086,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,1086,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,539,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,1500,0.008720
2025-12-03 04:45:55,NORMAL,0.004989,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:55,NORMAL,0.005513,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:55,ATTACK DETECTED,0.517892,20.189.172.33,134.88.135.190,TCP,103,68,0.000000
2025-12-03 04:45:55,NORMAL,0.000001,20.189.172.33,134.88.135.190,TCP,103,1500,0.000998
2025-12-03 04:45:55,NORMAL,0.007924,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:55,NORMAL,0.008452,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:55,NORMAL,0.250530,20.189.172.33,134.88.135.190,TCP,103,68,0.000000
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,4.249.131.160,TCP,128,423,0.000444
2025-12-03 04:45:55,NORMAL,0.006480,134.88.135.190,4.249.131.160,TCP,128,0,0.000148
2025-12-03 04:45:55,NORMAL,0.012249,134.88.135.190,4.249.131.160,TCP,128,0,0.000075
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,814,0.000608
2025-12-03 04:45:55,NORMAL,0.000001,134.88.135.190,140.82.113.21,TCP,128,0,0.001819
2025-12-03 04:45:55,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,813,0.000159
2025-12-03 04:45:55,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1476,0.001025
2025-12-03 04:45:55,NORMAL,0.000003,140.82.113.21,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:55,NORMAL,0.000001,140.82.113.21,134.88.135.190,TCP,52,1264,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,34.117.13.33,TCP,128,435,0.000977
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,140.82.112.22,TCP,128,557,0.000082
2025-12-03 04:45:56,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,52,629,0.001598
2025-12-03 04:45:56,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,52,64,0.000000
2025-12-03 04:45:56,NORMAL,0.000003,134.88.135.190,140.82.112.22,TCP,128,64,0.000206
2025-12-03 04:45:56,NORMAL,0.000001,140.82.113.21,134.88.135.190,TCP,52,1476,0.002168
2025-12-03 04:45:56,NORMAL,0.000764,140.82.113.21,134.88.135.190,TCP,52,195,0.000000
2025-12-03 04:45:56,NORMAL,0.073189,134.88.135.190,140.82.113.21,TCP,128,104,0.001216
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,132,0.000137
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,811,0.000045
2025-12-03 04:45:56,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:56,NORMAL,0.000007,134.88.135.190,34.117.13.33,TCP,128,292,0.000068
2025-12-03 04:45:56,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,49,1476,0.000931
2025-12-03 04:45:56,NORMAL,0.000006,140.82.112.22,134.88.135.190,TCP,49,1476,0.000000
2025-12-03 04:45:56,NORMAL,0.000006,140.82.112.22,134.88.135.190,TCP,49,1254,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,119,0.006114
2025-12-03 04:45:56,NORMAL,0.000003,140.82.113.21,134.88.135.190,TCP,52,119,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,104,0.000776
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,71,0.000107
2025-12-03 04:45:56,NORMAL,0.000000,34.117.13.33,134.88.135.190,TCP,117,458,0.003024
2025-12-03 04:45:56,NORMAL,0.000443,134.88.135.190,140.82.112.22,TCP,128,0,0.001391
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,557,0.000811
2025-12-03 04:45:56,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,49,119,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,49,119,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,143,0.001385
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,389,0.000725
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,67,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,64,0.000613
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,557,0.000071
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,143,0.000752
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,389,0.000000
2025-12-03 04:45:56,NORMAL,0.000002,20.189.172.33,134.88.135.190,TCP,103,67,0.000619
2025-12-03 04:45:56,NORMAL,0.000176,134.88.135.190,20.189.172.33,TCP,128,64,0.000281
2025-12-03 04:45:56,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,49,119,0.006785
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1476,0.018692
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:56,NORMAL,0.000003,140.82.113.21,134.88.135.190,TCP,52,1302,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:56,NORMAL,0.000005,140.82.113.21,134.88.135.190,TCP,52,1476,0.000229
2025-12-03 04:45:56,NORMAL,0.000030,140.82.113.21,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:56,NORMAL,0.000005,140.82.113.21,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:56,NORMAL,0.000002,140.82.113.21,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1476,0.001271
2025-12-03 04:45:56,NORMAL,0.000054,140.82.113.21,134.88.135.190,TCP,52,1325,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,139,0.009265
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,486,0.001354
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1476,0.002558
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,800,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,123,0.002497
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,109,0.000070
2025-12-03 04:45:56,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,139,0.000000
2025-12-03 04:45:56,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,486,0.000112
2025-12-03 04:45:56,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,88,0.000170
2025-12-03 04:45:57,NORMAL,0.000000,134.88.12.48,134.88.135.190,TCP,62,64,0.008038
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,134.88.12.48,TCP,128,68,0.000198
2025-12-03 04:45:57,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,1212,0.005210
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,426,0.002256
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,140.82.113.21,TCP,128,109,0.000067
2025-12-03 04:45:57,NORMAL,0.000000,140.82.113.21,134.88.135.190,TCP,52,88,0.000000
2025-12-03 04:45:57,NORMAL,0.000025,140.82.113.21,134.88.135.190,TCP,52,1212,0.012166
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,476,0.004490
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,125,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,1500,0.008929
2025-12-03 04:45:57,NORMAL,0.005594,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:57,NORMAL,0.005828,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:57,NORMAL,0.002649,20.189.172.33,134.88.135.190,TCP,103,68,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,813,0.002799
2025-12-03 04:45:57,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,1500,0.009498
2025-12-03 04:45:57,NORMAL,0.010386,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:57,NORMAL,0.007090,20.189.172.33,134.88.135.190,TCP,103,1500,0.000000
2025-12-03 04:45:57,NORMAL,0.020698,20.189.172.33,134.88.135.190,TCP,103,68,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,814,0.007133
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,139,0.033756
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,85,0.000000
2025-12-03 04:45:57,NORMAL,0.000127,134.88.135.190,4.249.131.160,TCP,128,162,0.008069
2025-12-03 04:45:57,NORMAL,0.004411,134.88.135.190,4.249.131.160,TCP,128,0,0.000087
2025-12-03 04:45:57,NORMAL,0.000198,134.88.135.190,4.249.131.160,TCP,128,0,0.000053
2025-12-03 04:45:57,NORMAL,0.001424,20.189.172.33,134.88.135.190,TCP,103,143,0.016290
2025-12-03 04:45:57,NORMAL,0.000037,20.189.172.33,134.88.135.190,TCP,103,389,0.000000
2025-12-03 04:45:57,NORMAL,0.000072,20.189.172.33,134.88.135.190,TCP,103,67,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,64,0.000282
2025-12-03 04:45:57,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,143,0.000351
2025-12-03 04:45:57,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,389,0.000351
2025-12-03 04:45:57,NORMAL,0.000000,20.189.172.33,134.88.135.190,TCP,103,67,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,20.189.172.33,TCP,128,64,0.000276
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,88,0.000000
2025-12-03 04:45:57,NORMAL,0.000000,134.88.138.164,134.88.143.255,UDP,128,291,0.046912
2025-12-03 04:45:57,NORMAL,0.000000,134.88.12.48,134.88.135.190,TCP,62,64,0.035790
2025-12-03 04:45:57,NORMAL,0.000000,134.88.135.190,134.88.12.48,TCP,128,68,0.000155
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,539,0.022418
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,141,0.052703
2025-12-03 04:45:57,NORMAL,0.000000,4.249.131.160,134.88.135.190,TCP,46,85,0.000000
2025-12-03 04:45:57,ATTACK DETECTED,0.848822,134.88.135.190,4.249.131.160,TCP,128,162,0.009536
2025-12-03 04:45:57,NORMAL,0.008150,134.88.135.190,4.249.131.160,TCP,128,0,0.000081
2025-12-03 04:45:57,NORMAL,0.007284,134.88.135.190,4.249.131.160,TCP,128,0,0.000050
